номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
62;SW_1001;48625;48,625;23525 + 1000 + 24100 = 48625 мм;ok;"локальная модель, без API; авто: D4 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D4 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D4 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; авто: D6 габарит Н.О., D12 габарит Н.О., D1 вернул участок, D2 вернул полный участок, D3 вернул участок, D5 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D6 полный размер, D1 опора в D6, D2 опора в D6, D3 опора в D6, D5 опора в D6, D12 полный размер, D8 опора в D12, D9 опора в D12, D10 опора в D12, D11 опора в D12; ручной визуальный аудит; авто: D6 габарит Н.О., D12 габарит Н.О., D6 полный размер, D12 полный размер; авто: D6 габарит Н.О., D12 габарит Н.О., D6 полный размер, D12 полный размер"
63;OD_1016;29320;29,320;1300 + 8800 + 13500 + 670 + 140 + 2110 + 2500 + 300 = 29320 мм;ok;"локальная модель, без API; авто: D11 внутри D10, D3 вернул участок, D6 вернул участок, D1 вернул длину, D9 вернул длину, D15 вернул длину; авто: D12 габарит пара, D4 вернул участок; авто: D5 внутри D6, D13 внутри D14, D16 внутри D10; ручной визуальный аудит; авто: D8 полный участок, D12 полный участок, D2 внутри D4, D3 внутри D4, D6 внутри D8, D7 внутри D8, D9 внутри D8, D11 вернул участок; авто: D11 внутри участка, D11 вернул участок"
64;OD_1016;10039;10,039;300 + 800 + 300 + 96 + 5555 + 2888 + 100 = 10039 мм;ok;"локальная модель, без API; авто: D5 внутри D6; ручной визуальный аудит"
65;PW1_1009;8228;8,228;152 + 720 + 1237 + 156 + 102 + 400 + 483 + 694 + 40 + 108 + 40 + 102 + 2605 + 694 + 695 = 8228 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D5 полный участок, D16 полный участок"
66;PW1_1009;43319;43,319;305 + 4501 + 10202 + 4501 + 3401 + 4801 + 5801 + 9502 + 305 = 43319 мм;ok;"локальная модель, без API; авто: D12 вернул участок, D3 вернул длину, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D9 вернул участок, D10 полный размер, D9 опора в D10; авто: D10 габарит Н.О., D11 внутри D12, D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; авто: D10 габарит Н.О., D10 полный размер; ручной визуальный аудит; авто: D10 габарит Н.О., D4 внутри D5, D10 полный размер; авто: D10 габарит Н.О., D10 полный размер"
67;PW1_1009;46109;46,109;2496 + 21300 + 700 + 1195 + 305 + 2265 + 305 + 2696 + 7496 + 5001 + 2350 = 46109 мм;ok;"локальная модель, без API; авто: D4 габарит Н.О., D2 вернул участок, D3 вернул участок, D10 вернул длину, D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D2 внутри D5, D2 два прогона с D3, D4 полный размер; авто: D4 габарит Н.О., D2 внутри D5, D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D1 внутри D2, D6 внутри D7, D8 внутри D9, D14 внутри D15, D2 вернул полный участок, D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; авто: D4 габарит Н.О., D4 полный размер; ручной визуальный аудит; авто: D4 габарит Н.О., D2 внутри D5, D3 внутри D5, D7 внутри D5, D16 внутри D17, D1 вернул участок, D5 вернул полный участок, D6 вернул участок"
68;PW1_1017;402;0,402;152 + 250 = 402 мм;ok;"локальная модель, без API; авто: D2 вернул длину; ручной визуальный аудит"
69;PW1_1018;400;0,400;30 + 21 + 21 + 78 + 250 = 400 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину; ручной визуальный аудит"
70;PW1_1019;398;0,398;148 + 250 = 398 мм;ok;"локальная модель, без API; авто: D2 вернул длину; ручной визуальный аудит"
71;PW1_1020;400;0,400;30 + 21 + 21 + 78 + 250 = 400 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину; ручной визуальный аудит"
72;PW1_1021;165;0,165;165 = 165 мм;ok;"локальная модель, без API; ручной визуальный аудит"
73;PW1_1022;198;0,198;75 + 123 = 198 мм;ok;"локальная модель, без API; ручной визуальный аудит"
74;PW2_1002;16657;16,657;180 + 285 + 350 + 1416 + 609 + 4800 + 7509 + 816 + 150 + 106 + 106 + 330 = 16657 мм;ok;"локальная модель, без API; ручной визуальный аудит"
75;PW2_1002;5127;5,127;177 + 191 + 140 + 239 + 294 + 294 + 2276 + 566 + 400 + 400 + 150 = 5127 мм;ok;"локальная модель, без API; ручной визуальный аудит"
76;UNKNOWN_76;46506;46,506;768 + 2500 + 1781 + 1781 + 1781 + 5000 + 5000 + 18751 + 8919 + 225 = 46506 мм;ok;"локальная модель, без API; авто: D12 вернул участок, D16 вернул участок, D6 вернул длину; авто: D4 внутри D8, D6 внутри D14, D10 внутри D12, D13 внутри D15, D14 вернул полный участок, D14 габарит рядом с D7; авто: D14 вернул полный участок, D14 габарит рядом с D7; авто: D14 вернул полный участок, D14 габарит рядом с D7; ручной визуальный аудит; авто: D5 внутри D6, D12 внутри D14, D15 внутри D16, D13 вернул участок, D14 вернул полный участок, D7 внутри D14; авто: D7 вернул участок, D7 внутри D14"
77;UNKNOWN_77;5455;5,455;1187 + 519 + 1143 + 263 + 390 + 1386 + 217 + 140 + 210 = 5455 мм;ok;"локальная модель, без API; авто: D2 вернул участок; ручной визуальный аудит; авто: D3 полный участок, D2 внутри участка, D2 вернул участок; авто: D2 внутри участка, D2 вернул участок"
78;PW5_1004;4512;4,512;80 + 625 + 400 + 191 + 152 + 400 + 500 + 250 + 300 + 250 + 300 + 714 + 350 = 4512 мм;ok;"локальная модель, без API; авто: D8 штурвал; авто: D12 внутри D16, D14 внутри D15; ручной визуальный аудит; авто: D12 вернул участок"
79;PW5_1004;7507;7,507;214 + 314 + 126 + 250 + 194 + 225 + 425 + 2500 + 110 + 194 + 1563 + 322 + 126 + 250 + 214 + 350 + 130 = 7507 мм;ok;"локальная модель, без API; авто: D9 внутри D10; ручной визуальный аудит; авто: D5 штурвал, D9 вернул участок"
80;PW5_1004;4556;4,556;714 + 300 + 197 + 250 + 300 + 197 + 250 + 500 + 400 + 191 + 152 + 400 + 625 + 80 = 4556 мм;ok;"локальная модель, без API; авто: D5 вернул участок; авто: D1 внутри D2; ручной визуальный аудит"
81;PW5_1004;26811;26,811;1365 + 225 + 250 + 2772 + 200 + 130 + 100 + 700 + 350 + 614 + 350 + 4800 + 5500 + 700 + 614 + 300 + 364 + 1765 + 4748 + 364 + 300 + 300 = 26811 мм;ok;"локальная модель, без API; авто: D11 внутри D8; авто: D15 внутри D16, D19 внутри D17, D20 внутри D17, D26 внутри D24; ручной визуальный аудит; авто: D22 внутри D23, D27 внутри D12, D11 вернул полный участок; авто: D11 внутри участка, D11 вернул полный участок"
82;PW5_1004;32990;32,990;130 + 110 + 400 + 1800 + 1500 + 4700 + 11000 + 1000 + 12350 = 32990 мм;ok;"локальная модель, без API; авто: D7 вернул участок, D4 вернул длину; авто: D12 вернул участок; авто: D2 внутри D3, D10 внутри D11; ручной визуальный аудит; авто: D9 внутри D12, D11 внутри D12, D2 вернул участок"
83;PW5_1004;17690;17,690;1292 + 1332 + 1189 + 600 + 214 + 928 + 2748 + 600 + 1100 + 600 + 2786 + 1332 + 1189 + 600 + 214 + 966 = 17690 мм;ok;"локальная модель, без API; авто: D19 штурвал, D16 внутри D14, D10 вернул длину, D11 вернул длину, D20 вернул длину; авто: D11 внутри D13; авто: D10 внутри D11; авто: D11 вернул полный участок, D16 вернул участок; ручной визуальный аудит; авто: D11 внутри участка, D13 внутри D14, D16 внутри участка, D11 вернул полный участок, D16 вернул участок; авто: D11 внутри участка, D16 внутри участка, D11 вернул полный участок, D16 вернул участок"
84;PW5_1004;33886;33,886;2050 + 3000 + 5700 + 965 + 3450 + 470 + 3806 + 4547 + 707 + 500 + 500 + 3358 + 4833 = 33886 мм;ok;"локальная модель, без API; авто: D3 вернул участок; авто: D2 внутри D8, D13 внутри D8; ручной визуальный аудит; авто: D2 вернул участок, D13 вернул участок"
85;PW5_1004;33982;33,982;120 + 2094 + 1481 + 1481 + 19550 + 1400 + 822 + 581 + 581 + 3438 + 600 + 1400 + 170 + 264 = 33982 мм;ok;"локальная модель, без API; авто: D9 вернул участок, D1 вернул длину; авто: D2 внутри D6, D16 внутри D11; ручной визуальный аудит; авто: D5 внутри D9, D6 внутри D9, D7 внутри D9, D8 внутри D9, D2 вернул участок, D16 вернул участок, D18 полный размер, D17 опора в D18; авто: D18 габарит Н.О., D17 вернул участок, D18 полный размер, D17 опора в D18"
86;PW5_1004;23828;23,828;800 + 949 + 2350 + 325 + 575 + 3200 + 1175 + 4300 + 1200 + 8600 + 150 + 204 = 23828 мм;ok;"локальная модель, без API; авто: D12 вернул участок, D13 вернул участок; авто: D6 внутри D7, D12 внутри D13, D15 внутри D10; ручной визуальный аудит; авто: D11 внутри D13, D15 вернул участок"
87;PW5_1004;5428;5,428;80 + 348 + 595 + 271 + 271 + 271 + 135 + 271 + 150 + 150 + 100 + 1969 + 817 = 5428 мм;ok;"локальная модель, без API; авто: D3 габарит Н.О., D11 внутри D12, D11 два прогона с D18, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D11 внутри D12, D2 вернул участок, D11 два прогона с D18, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D11 внутри D12, D2 вернул участок, D11 два прогона с D18, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D11 внутри D12, D2 вернул участок, D11 два прогона с D18, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D11 внутри D12, D2 вернул участок, D11 два прогона с D18, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D11 внутри D12, D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D5 внутри D2, D2 вернул полный участок, D11 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул полный участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул полный участок, D3 полный размер, D2 опора в D3; ручной визуальный аудит; авто: D3 габарит Н.О., D11 внутри участка, D2 вернул участок, D5 вернул участок, D11 вернул участок, D3 полный размер; авто: D3 габарит Н.О., D11 внутри участка, D11 вернул участок, D3 полный размер"
88;PW5_1005;7793;7,793;120 + 1484 + 1126 + 916 + 655 + 900 + 1292 + 280 + 128 + 138 + 280 + 354 + 120 = 7793 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D2 внутри D3"
89;PW5_1005;10108;10,108;1780 + 181 + 800 + 1000 + 378 + 280 + 133 + 50 + 150 + 410 + 3770 + 199 + 514 + 50 + 133 + 280 = 10108 мм;ok;"локальная модель, без API; авто: D21 штурвал, D22 штурвал; авто: D7 внутри D8, D19 внутри D17; ручной визуальный аудит; авто: D6 штурвал, D19 вернул участок"
90;PW5_1006;21110;21,110;464 + 325 + 736 + 1016 + 421 + 2230 + 1109 + 9059 + 1200 + 4400 + 150 = 21110 мм;ok;"локальная модель, без API; авто: D10 вернул длину, D12 вернул длину; авто: D8 внутри D10, D9 внутри D10; ручной визуальный аудит"
91;PW5_1006;37746;37,746;350 + 1350 + 1200 + 2696 + 9200 + 500 + 1200 + 1500 + 11600 + 1500 + 1200 + 5450 = 37746 мм;ok;"локальная модель, без API; авто: D5 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D2 вернул участок, D3 вернул участок, D6 вернул участок, D9 вернул участок, D10 полный размер, D2 опора в D10, D3 опора в D10, D6 опора в D10, D9 опора в D10; авто: D10 габарит Н.О., D14 внутри D5, D1 вернул участок, D2 вернул участок, D3 вернул участок, D6 вернул участок, D10 полный размер, D1 опора в D10, D2 опора в D10, D3 опора в D10, D6 опора в D10; авто: D10 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D6 вернул участок, D10 полный размер, D1 опора в D10, D2 опора в D10, D3 опора в D10, D6 опора в D10; авто: D10 габарит Н.О., D1 вернул участок, D2 вернул участок, D3 вернул участок, D6 вернул участок, D10 полный размер, D1 опора в D10, D2 опора в D10, D3 опора в D10, D6 опора в D10; ручной визуальный аудит; авто: D7 полный участок, D10 габарит Н.О., D11 внутри D12, D1 вернул участок, D2 вернул участок, D3 вернул участок, D6 вернул участок, D14 вернул участок, D10 полный размер; авто: D10 габарит Н.О., D1 внутри участка, D1 вернул участок, D10 полный размер"
92;PW5_1006;14902;14,902;150 + 1250 + 5000 + 396 + 4577 + 574 + 192 + 165 + 342 + 1053 + 1053 + 150 = 14902 мм;ok;"локальная модель, без API; авто: D3 габарит Н.О., D5 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D4 внутри D5, D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; ручной визуальный аудит; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D3 полный размер, D2 опора в D3"
93;SW_1001;63628;63,628;2150 + 2502 + 2500 + 100 + 41300 + 3980 + 4100 + 2300 + 1406 + 3000 + 120 + 85 + 85 = 63628 мм;ok;"локальная модель, без API; авто: D9 вернул участок, D10 вернул участок, D11 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D5 вернул участок, D6 вернул участок, D7 вернул участок, D8 вернул участок, D9 вернул участок, D10 вернул участок, D11 вернул участок, D12 вернул участок, D13 полный размер, D5 опора в D13, D6 опора в D13, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13, D12 опора в D13; авто: D13 габарит Н.О., D21 внутри D4, D7 вернул полный участок, D8 вернул полный участок, D9 вернул участок, D10 вернул участок, D11 вернул полный участок, D13 полный размер, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13; авто: D13 габарит Н.О., D7 вернул полный участок, D8 вернул полный участок, D9 вернул участок, D10 вернул участок, D11 вернул полный участок, D13 полный размер, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13; авто: D13 габарит Н.О., D7 вернул полный участок, D8 вернул полный участок, D9 вернул участок, D10 вернул участок, D11 вернул полный участок, D13 полный размер, D7 опора в D13, D8 опора в D13, D9 опора в D13, D10 опора в D13, D11 опора в D13; ручной визуальный аудит; авто: D13 габарит Н.О., D21 вернул участок, D13 полный размер; авто: D13 габарит Н.О., D13 полный размер"
94;SW_1001;37336;37,336;1550 + 1096 + 1096 + 5000 + 19550 + 1850 + 822 + 581 + 581 + 388 + 3688 + 120 + 75 + 389 + 550 = 37336 мм;ok;"локальная модель, без API; авто: D7 вернул участок; авто: D1 внутри D6; ручной визуальный аудит; авто: D4 внутри D7, D5 внутри D7, D1 вернул участок, D18 полный размер, D17 опора в D18; авто: D18 габарит Н.О., D17 вернул участок, D18 полный размер, D17 опора в D18"
95;SW_1001;11838;11,838;50 + 193 + 2761 + 900 + 402 + 202 + 1527 + 164 + 140 + 275 + 60 + 376 + 3750 + 354 + 60 + 320 + 164 + 140 = 11838 мм;ok;"локальная модель, без API; авто: D3 штурвал, D27 штурвал; ручной визуальный аудит"
96;SW_1002;5563;5,563;1383 + 600 + 2160 + 900 + 320 + 200 = 5563 мм;ok;"локальная модель, без API; ручной визуальный аудит"
97;VA_1004;37435;37,435;650 + 707 + 311 + 2253 + 2921 + 28443 + 2150 = 37435 мм;ok;"локальная модель, без API; авто: D9 вернул участок, D1 вернул длину, D11 вернул длину; ручной визуальный аудит; авто: D6 внутри D10, D7 внутри D10, D8 внутри D10, D9 внутри D10, D10 вернул полный участок"
98;VA_1004;31930;31,930;450 + 1071 + 765 + 749 + 18802 + 1694 + 1949 + 6000 + 450 = 31930 мм;ok;"локальная модель, без API; авто: D14 габарит Н.О., D2 вернул участок, D7 вернул участок, D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D8 внутри D7, D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; ручной визуальный аудит; авто: D9 полный участок, D14 габарит Н.О., D5 внутри D9, D6 внутри D9, D7 внутри D9, D10 внутри D9, D14 полный размер; авто: D14 габарит Н.О., D14 полный размер"
99;VA_1005;12853;12,853;120 + 76 + 1724 + 331 + 688 + 924 + 75 + 2590 + 350 + 2400 + 500 + 3000 + 75 = 12853 мм;ok;"локальная модель, без API; авто: D8 габарит Н.О.; авто: D9 внутри D14, D11 внутри D12; ручной визуальный аудит; авто: D14 внутри D10, D9 вернул участок, D11 вернул участок, D8 полный размер; авто: D8 габарит Н.О., D8 полный размер"
100;VA_1005;32294;32,294;2747 + 3200 + 1000 + 2772 + 5400 + 1000 + 3000 + 9800 + 500 + 1950 + 925 = 32294 мм;ok;"локальная модель, без API; авто: D7 вернул участок, D12 вернул участок, D13 вернул участок, D1 вернул длину, D2 вернул длину; авто: D13 внутри D16, D15 внутри D11; ручной визуальный аудит; авто: D5 полный участок, D14 полный участок, D9 внутри D12, D11 внутри D12, D13 вернул участок, D15 вернул участок, D14 габарит, цепочка полная; авто: D5 габарит Н.О., D5 полный участок, D14 полный участок, D14 габарит, цепочка полная"
101;VA_1005;31011;31,011;75 + 422 + 9250 + 500 + 6500 + 4471 + 819 + 164 + 159 + 237 + 806 + 806 + 75 + 6727 = 31011 мм;ok;"локальная модель, без API; авто: D5 вернул участок, D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D9 внутри D10, D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; ручной визуальный аудит; авто: D8 габарит Н.О., D3 внутри D5, D4 внутри D5, D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8"
102;VA_1007;3001;3,001;250 + 2751 = 3001 мм;ok;"локальная модель, без API; ручной визуальный аудит"
103;CO_0166;8965;8,965;120 + 255 + 181 + 134 + 255 + 450 + 240 + 1595 + 315 + 1935 + 3000 + 365 + 120 = 8965 мм;ok;"локальная модель, без API; авто: D13 габарит пара; ручной визуальный аудит"
